language,model,year,response,response1,response2,response3,response4,response5,response6,response7
English,anthropic,1271," 1. Siege of Jerusalem 
2.Mongol raids into Poland and Bohemia
3. Construction begins on the Leaning Tower of Pisa
4. Kublai Khan renames his empire ""Yuan""
5. The final stage of the Eighty Years' War between England and Wales begins", 1. Siege of Jerusalem ,2.Mongol raids into Poland and Bohemia,3. Construction begins on the Leaning Tower of Pisa,"4. Kublai Khan renames his empire ""Yuan""",5. The final stage of the Eighty Years' War between England and Wales begins,,
English,anthropic,1271," 1. Marco Polo travels to China 
2. Kings Edward I crowned in England 
3. Osaka Castle built in Japan
4. Kublai Khan renamed China ""Yuan Dynasty""
5. King James I of Aragon conquered the kingdom of Murcia", 1. Marco Polo travels to China ,2. Kings Edward I crowned in England ,3. Osaka Castle built in Japan,"4. Kublai Khan renamed China ""Yuan Dynasty""",5. King James I of Aragon conquered the kingdom of Murcia,,
English,anthropic,1271," 1. Marco Polo leaves Venice
2. Kublai Khan renames his empire ""Yuan"" 
3. Thomas Aquinas completes Summa Theologiae
4. Battle of Al Mansourah (Baibars vs Crusaders) 
5. Baibars conquers Damascus from Crusaders", 1. Marco Polo leaves Venice,"2. Kublai Khan renames his empire ""Yuan"" ",3. Thomas Aquinas completes Summa Theologiae,4. Battle of Al Mansourah (Baibars vs Crusaders) ,5. Baibars conquers Damascus from Crusaders,,
English,anthropic,1271," 1. Marco Polo departs Venice
2. Kublai Khan renames his empire ""Yuan"" 
3. Thomas Aquinas publishes Summa Theologiae
4. The Livonian Order is defeated in Battle of Durbe
5. Construction of Caernarfon Castle begins", 1. Marco Polo departs Venice,"2. Kublai Khan renames his empire ""Yuan"" ",3. Thomas Aquinas publishes Summa Theologiae,4. The Livonian Order is defeated in Battle of Durbe,5. Construction of Caernarfon Castle begins,,
English,anthropic,1271," 1. Marco Polo travels to Asia
2. Kublai Khan conquers Song China
3. The final crusade is launched 
4. The first Mongol invasion of Japan fails
5. Construction begins on the Leaning Tower of Pisa", 1. Marco Polo travels to Asia,2. Kublai Khan conquers Song China,3. The final crusade is launched ,4. The first Mongol invasion of Japan fails,5. Construction begins on the Leaning Tower of Pisa,,
English,anthropic,1392," 1. The Gilded Age
2. The Peasant Revolt in France 
3. Tokugawa Ieyasu takes control of Edo Castle
4. The succession of Manuel II Palaiologos as Byzantine Emperor 
5. The completion of Florence Cathedral in Italy", 1. The Gilded Age,2. The Peasant Revolt in France ,3. Tokugawa Ieyasu takes control of Edo Castle,4. The succession of Manuel II Palaiologos as Byzantine Emperor ,5. The completion of Florence Cathedral in Italy,,
English,anthropic,1392," 1. Treaty of Stralsund 

2. Hanoi becomes capital of Vietnam

3. Timur conquers Persia 

4. Anti-Jewish riots in Spain 

5. The de Medici family rises to prominence in Florence", 1. Treaty of Stralsund ,2. Hanoi becomes capital of Vietnam,3. Timur conquers Persia ,4. Anti-Jewish riots in Spain ,5. The de Medici family rises to prominence in Florence,,
English,anthropic,1392," 1. Fall of the Ashikaga Shogunate 
2. Timur invades Persia
3. Anti-Jewish persecutions in Spain 
4. War of the Two Peters in Portugal
5. Completion of Florence Cathedral", 1. Fall of the Ashikaga Shogunate ,2. Timur invades Persia,3. Anti-Jewish persecutions in Spain ,4. War of the Two Peters in Portugal,5. Completion of Florence Cathedral,,
English,anthropic,1392," 1. Fall of the Ashikaga shogunate 
2. Timur conquers Persia
3. Anti-Jewish persecutions in Spain
4. King Taejo establishes Joseon dynasty in Korea
5. Vytautas the Great becomes Grand Duke of Lithuania", 1. Fall of the Ashikaga shogunate ,2. Timur conquers Persia,3. Anti-Jewish persecutions in Spain,4. King Taejo establishes Joseon dynasty in Korea,5. Vytautas the Great becomes Grand Duke of Lithuania,,
English,anthropic,1392," 1. Fall of Kyoto 
2. Unification of Korea
3.Discovery of Madeira
4.Witch trials in Paris
5. Mali Empire invades Songhai Empire", 1. Fall of Kyoto ,2. Unification of Korea,3.Discovery of Madeira,4.Witch trials in Paris,5. Mali Empire invades Songhai Empire,,
English,anthropic,1492," 1. Columbus reaches the Americas 
2. Spain conquers Granada, ends Muslim rule 
3. Expulsion of Jews from Spain
4. Maximilian I becomes Holy Roman Emperor
5. Battle of Krbava Field, Ottoman conquest of Croatia ", 1. Columbus reaches the Americas ,"2. Spain conquers Granada, ends Muslim rule ",3. Expulsion of Jews from Spain,4. Maximilian I becomes Holy Roman Emperor,"5. Battle of Krbava Field, Ottoman conquest of Croatia ",,
English,anthropic,1492," 1. Columbus reaches the Americas 
2. Fall of Granada and Alhambra Decree
3. Expulsion of Jews from Spain  
4. Da Gama reaches India
5. Lorenzo de' Medici dies", 1. Columbus reaches the Americas ,2. Fall of Granada and Alhambra Decree,3. Expulsion of Jews from Spain  ,4. Da Gama reaches India,5. Lorenzo de' Medici dies,,
English,anthropic,1492," 1. Columbus reaches the Americas 
2. Jews expelled from Spain
3. Castile and Aragon unite
4. Borgias take power in Rome
5. Isabella proclaimed Queen of Castile", 1. Columbus reaches the Americas ,2. Jews expelled from Spain,3. Castile and Aragon unite,4. Borgias take power in Rome,5. Isabella proclaimed Queen of Castile,,
English,anthropic,1492," 1. Columbus reaches the Americas
2. Fall of Granada, end of Reconquista
3. Expulsion of the Jews from Spain 
4.  Treaty of Etaples between France and England
5. Orsini plot against Pope Alexander VI", 1. Columbus reaches the Americas,"2. Fall of Granada, end of Reconquista",3. Expulsion of the Jews from Spain ,4.  Treaty of Etaples between France and England,5. Orsini plot against Pope Alexander VI,,
English,anthropic,1492," 1. Discovery of the Americas by Christopher Columbus 
2. Expulsion of Jews from Spain
3. Fall of Granada and completion of the Reconquista 
4. Treaty of Étaples between England and France
5. Lorenzo de' Medici's death", 1. Discovery of the Americas by Christopher Columbus ,2. Expulsion of Jews from Spain,3. Fall of Granada and completion of the Reconquista ,4. Treaty of Étaples between England and France,5. Lorenzo de' Medici's death,,
English,anthropic,1648," 1. Peace of Westphalia 
2. The Deluge - Swedish invasion of Poland
3. The Khmelnytsky Uprising
4. The Boston Martyrs
5. The Cretan War", 1. Peace of Westphalia ,2. The Deluge - Swedish invasion of Poland,3. The Khmelnytsky Uprising,4. The Boston Martyrs,5. The Cretan War,,
English,anthropic,1648," 1. Peace of Westphalia
2. Start of Russia's October Uprising
3. The Thirty Years War ends  
4. King Charles I of England begins the Second English Civil War
5. Dutch West India Company establishes settlement in current day South Africa", 1. Peace of Westphalia,2. Start of Russia's October Uprising,3. The Thirty Years War ends  ,4. King Charles I of England begins the Second English Civil War,5. Dutch West India Company establishes settlement in current day South Africa,,
English,anthropic,1648," 1. Peace of Westphalia 
2. The Thirty Years' War ends
3. The Treaty of Osnabrück
4. Khmelnytsky Uprising
5. The Treaties of Münster and Osnabrück", 1. Peace of Westphalia ,2. The Thirty Years' War ends,3. The Treaty of Osnabrück,4. Khmelnytsky Uprising,5. The Treaties of Münster and Osnabrück,,
English,anthropic,1648," 1. Peace of Westphalia 
2. Khmelnytsky Uprising
3. Boston Covenant
4. Battle of Lens
5. Hurricane strikes Yucatan Peninsula", 1. Peace of Westphalia ,2. Khmelnytsky Uprising,3. Boston Covenant,4. Battle of Lens,5. Hurricane strikes Yucatan Peninsula,,
English,anthropic,1648," 1. Peace of Westphalia
2. Khmelnytsky Uprising 
3. Boston Latin School founded
4. Construction of Taj Mahal completed
5. Battle of Preston", 1. Peace of Westphalia,2. Khmelnytsky Uprising ,3. Boston Latin School founded,4. Construction of Taj Mahal completed,5. Battle of Preston,,
English,anthropic,1776," 1. American Declaration of Independence 
2. Adam Smith publishes The Wealth of Nations
3. Captain James Cook's third Pacific voyage
4. Foundation of Illuminati
5. Mozart's Serenade No. 13 premieres", 1. American Declaration of Independence ,2. Adam Smith publishes The Wealth of Nations,3. Captain James Cook's third Pacific voyage,4. Foundation of Illuminati,5. Mozart's Serenade No. 13 premieres,,
English,anthropic,1776," 1. American Declaration of Independence 
2. Publication of The Wealth of Nations
3. Captain Cook's third voyage
4. Battle of Trenton
5. Foundation of the Illuminati", 1. American Declaration of Independence ,2. Publication of The Wealth of Nations,3. Captain Cook's third voyage,4. Battle of Trenton,5. Foundation of the Illuminati,,
English,anthropic,1776," 1. American Declaration of Independence 
2. British lose the American Revolutionary War battle of Saratoga
3. Adam Smith publishes The Wealth of Nations
4. Captain James Cook discovers Hawaii 
5. Mozart's Eine Kleine Nachtmusik composed", 1. American Declaration of Independence ,2. British lose the American Revolutionary War battle of Saratoga,3. Adam Smith publishes The Wealth of Nations,4. Captain James Cook discovers Hawaii ,5. Mozart's Eine Kleine Nachtmusik composed,,
English,anthropic,1776," 1. American Declaration of Independence 
2. Adam Smith publishes The Wealth of Nations
3. Captain James Cook lands in Hawaii 
4. Fifth Anglo-Mysore War begins in India
5. The Illuminati secret society founded", 1. American Declaration of Independence ,2. Adam Smith publishes The Wealth of Nations,3. Captain James Cook lands in Hawaii ,4. Fifth Anglo-Mysore War begins in India,5. The Illuminati secret society founded,,
English,anthropic,1776," 1. American Declaration of Independence 
2. Scottish Highlanders Rebellion
3. Captain Cook discovers Cook Islands 
4. Adam Smith publishes ""The Wealth of Nations""
5. Mozart's Serenade No. 7 premieres", 1. American Declaration of Independence ,2. Scottish Highlanders Rebellion,3. Captain Cook discovers Cook Islands ,"4. Adam Smith publishes ""The Wealth of Nations""",5. Mozart's Serenade No. 7 premieres,,
English,anthropic,1803," 1. Louisiana Purchase 
2. Haiti gains independence from France
3. Ohio admitted as the 17th U.S. state
4. Napoleonic Wars: France takes control of Hanover 
5. Saint-Domingue Expedition ends", 1. Louisiana Purchase ,2. Haiti gains independence from France,3. Ohio admitted as the 17th U.S. state,4. Napoleonic Wars: France takes control of Hanover ,5. Saint-Domingue Expedition ends,,
English,anthropic,1803," 1. Louisiana Purchase 
2. Act of Mediation 
3. Ohio Statehood
4. St. Louis founded
5. Supreme Court decides Marbury v. Madison", 1. Louisiana Purchase ,2. Act of Mediation ,3. Ohio Statehood,4. St. Louis founded,5. Supreme Court decides Marbury v. Madison,,
English,anthropic,1803," 1. Louisiana Purchase
2. Haitian Revolution - Independence from France
3. Act of Mediation - Switzerland becomes independent from France 
4. Ohio becomes 17th US state
5. War of the Third Coalition begins against France", 1. Louisiana Purchase,2. Haitian Revolution - Independence from France,3. Act of Mediation - Switzerland becomes independent from France ,4. Ohio becomes 17th US state,5. War of the Third Coalition begins against France,,
English,anthropic,1803," 1. Louisiana Purchase 
2. Saint-Domingue declares independence as Haiti
3. Act of Mediation establishes Swiss Confederation
4. Battle of Assaye
5. Ohio becomes 17th U.S. state", 1. Louisiana Purchase ,2. Saint-Domingue declares independence as Haiti,3. Act of Mediation establishes Swiss Confederation,4. Battle of Assaye,5. Ohio becomes 17th U.S. state,,
English,anthropic,1803," 1. Louisiana Purchase 
2. War of the Third Coalition
3. Saint-Domingue expedition
4. Haitian Revolution
5. Act of Mediation", 1. Louisiana Purchase ,2. War of the Third Coalition,3. Saint-Domingue expedition,4. Haitian Revolution,5. Act of Mediation,,
English,anthropic,1848," 1. Revolutions of 1848 
2. Abdication of Louis Philippe I of France
3. Treaty of Guadalupe Hidalgo
4. Karl Marx's The Communist Manifesto published
5. California Gold Rush", 1. Revolutions of 1848 ,2. Abdication of Louis Philippe I of France,3. Treaty of Guadalupe Hidalgo,4. Karl Marx's The Communist Manifesto published,5. California Gold Rush,,
English,anthropic,1848," 1. Revolutions of 1848
2. California Gold Rush  
3. Seneca Falls Convention
4. Treaty of Guadalupe Hidalgo
5. Transcendentalist Group founded", 1. Revolutions of 1848,2. California Gold Rush  ,3. Seneca Falls Convention,4. Treaty of Guadalupe Hidalgo,5. Transcendentalist Group founded,,
English,anthropic,1848," 1. Revolutions of 1848 in Europe 
2. Seneca Falls Convention
3. California Gold Rush
4. Treaty of Guadalupe Hidalgo
5. Communist Manifesto published", 1. Revolutions of 1848 in Europe ,2. Seneca Falls Convention,3. California Gold Rush,4. Treaty of Guadalupe Hidalgo,5. Communist Manifesto published,,
English,anthropic,1848," 1. Revolutions of 1848
2. California Gold Rush  
3. Seneca Falls Convention
4. Publication of The Communist Manifesto
5. Treaty of Guadalupe Hidalgo", 1. Revolutions of 1848,2. California Gold Rush  ,3. Seneca Falls Convention,4. Publication of The Communist Manifesto,5. Treaty of Guadalupe Hidalgo,,
English,anthropic,1848," 1. Revolutions of 1848 
2. End of the Second Seminole War
 3. Treaty of Guadalupe Hidalgo 
4. California Gold Rush
5. Seneca Falls Convention", 1. Revolutions of 1848 ,2. End of the Second Seminole War, 3. Treaty of Guadalupe Hidalgo ,4. California Gold Rush,5. Seneca Falls Convention,,
English,anthropic,1868," 1. Meiji Restoration 
2. Impeachment of Andrew Johnson
3. 1868 Presidential Election (Ulysses S. Grant elected)
4. Proclamation of the Bulgarian Exarchate
5. Battle of Ngọc Hồi-Đống Đa", 1. Meiji Restoration ,2. Impeachment of Andrew Johnson,3. 1868 Presidential Election (Ulysses S. Grant elected),4. Proclamation of the Bulgarian Exarchate,5. Battle of Ngọc Hồi-Đống Đa,,
English,anthropic,1868," 1. Meiji Restoration 
2. Impeachment of Andrew Johnson
3. Battle of Ngọc Hồi-Đống Đa  
4. Publication of Little Women
5. Wyoming grants women's suffrage", 1. Meiji Restoration ,2. Impeachment of Andrew Johnson,3. Battle of Ngọc Hồi-Đống Đa  ,4. Publication of Little Women,5. Wyoming grants women's suffrage,,
English,anthropic,1868," 1. Meiji Restoration 
2. Impeachment of Andrew Johnson
3. First transatlantic telegraph cable
4. Election of Ulysses S. Grant
5. Last execution in UK for attempted murder", 1. Meiji Restoration ,2. Impeachment of Andrew Johnson,3. First transatlantic telegraph cable,4. Election of Ulysses S. Grant,5. Last execution in UK for attempted murder,,
English,anthropic,1868," 1. Meiji Restoration 
2. Impeachment of Andrew Johnson
3. Battle of Washita River
4. Crofter's Holdings (Scotland) Act
5. Pierre Janssen discovers helium", 1. Meiji Restoration ,2. Impeachment of Andrew Johnson,3. Battle of Washita River,4. Crofter's Holdings (Scotland) Act,5. Pierre Janssen discovers helium,,
English,anthropic,1868," 1.  Meiji Restoration 
2.  Impeachment of Andrew Johnson
3.  Battle of Abyssinia 
4.  Reform Act 
5.  Heisman trophy first awarded", 1.  Meiji Restoration ,2.  Impeachment of Andrew Johnson,3.  Battle of Abyssinia ,4.  Reform Act ,5.  Heisman trophy first awarded,,
English,anthropic,1910," 1. Death of King Edward VII 
2. Start of Mexican Revolution
3. Japan annexes Korea
4. First public radio broadcast
5. Halley's Comet visible", 1. Death of King Edward VII ,2. Start of Mexican Revolution,3. Japan annexes Korea,4. First public radio broadcast,5. Halley's Comet visible,,
English,anthropic,1910," 1. Halley's Comet
2. Death of Florence Nightingale
3. Death of King Edward VII
4. Death of Mark Twain
5. Death of Leo Tolstoy", 1. Halley's Comet,2. Death of Florence Nightingale,3. Death of King Edward VII,4. Death of Mark Twain,5. Death of Leo Tolstoy,,
English,anthropic,1910," 1. Death of King Edward VII
2. Formation of Union of South Africa 
3. Discovery of Halley's Comet 
4. Death of Leo Tolstoy
5. Death of Florence Nightingale", 1. Death of King Edward VII,2. Formation of Union of South Africa ,3. Discovery of Halley's Comet ,4. Death of Leo Tolstoy,5. Death of Florence Nightingale,,
English,anthropic,1910," 1. 1910 Mexican Revolution 
2. Death of King Edward VII
3. Halley's Comet 
4. Formation of the NAACP
5. Union of South Africa", 1. 1910 Mexican Revolution ,2. Death of King Edward VII,3. Halley's Comet ,4. Formation of the NAACP,5. Union of South Africa,,
English,anthropic,1910," 1. Death of King Edward VII 
2. Union of South Africa formed
3. Death of Mark Twain
4. Death of Florence Nightingale 
5. Halley's Comet returns", 1. Death of King Edward VII ,2. Union of South Africa formed,3. Death of Mark Twain,4. Death of Florence Nightingale ,5. Halley's Comet returns,,
English,anthropic,1950," 1. Korean War 
2. McCarthyism
3. Development of hydrogen bomb
4. Founding of NASA
5. Death of George Orwell", 1. Korean War ,2. McCarthyism,3. Development of hydrogen bomb,4. Founding of NASA,5. Death of George Orwell,,
English,anthropic,1950," 1. Korean War 
2. McCarthyism and anti-communist hysteria
3. The invention of the Peanuts comic strip
4. Development of hydrogen bomb
5. Growth of suburbia and baby boom", 1. Korean War ,2. McCarthyism and anti-communist hysteria,3. The invention of the Peanuts comic strip,4. Development of hydrogen bomb,5. Growth of suburbia and baby boom,,
English,anthropic,1950," 1. Korean War 
2. McCarthyism  
3. Development of hydrogen bomb
4. Growth of suburbia in US
5. Peak of Baby Boom generation births", 1. Korean War ,2. McCarthyism  ,3. Development of hydrogen bomb,4. Growth of suburbia in US,5. Peak of Baby Boom generation births,,
English,anthropic,1950," 1. Start of the Korean War 
2. Invention of the credit card
3. McCarthyism and anti-communist sentiment in the U.S.
4. Beginning of the Cold War
5. India gains independence from Britain", 1. Start of the Korean War ,2. Invention of the credit card,3. McCarthyism and anti-communist sentiment in the U.S.,4. Beginning of the Cold War,5. India gains independence from Britain,,
English,anthropic,1950," 1. Korean War
2. McCarthy Hearings
3. Deployment of H-bomb  
4. U.N. headquarters opens in NYC
5. Peanuts comic strip debut", 1. Korean War,2. McCarthy Hearings,3. Deployment of H-bomb  ,4. U.N. headquarters opens in NYC,5. Peanuts comic strip debut,,
English,anthropic,1966," 1. Cultural Revolution 
2. Vietnam War 
3. Star Trek television series debuts
4. Soviet Luna 9 moon probe
5. Indira Gandhi becomes Prime Minister of India", 1. Cultural Revolution ,2. Vietnam War ,3. Star Trek television series debuts,4. Soviet Luna 9 moon probe,5. Indira Gandhi becomes Prime Minister of India,,
English,anthropic,1966," 1. Cultural Revolution in China
2. Indira Gandhi becomes Prime Minister of India
3. Botswana gains independence
4. Military coup in Nigeria
5. Spain withdraws from UNESCO", 1. Cultural Revolution in China,2. Indira Gandhi becomes Prime Minister of India,3. Botswana gains independence,4. Military coup in Nigeria,5. Spain withdraws from UNESCO,,
English,anthropic,1966," 1. Cultural Revolution begins in China 
2. Indira Gandhi becomes Prime Minister of India
3. Botswana gains independence 
4. Mao Zedong launches the Great Proletarian Cultural Revolution
5. Park Chung-hee seizes power in South Korea", 1. Cultural Revolution begins in China ,2. Indira Gandhi becomes Prime Minister of India,3. Botswana gains independence ,4. Mao Zedong launches the Great Proletarian Cultural Revolution,5. Park Chung-hee seizes power in South Korea,,
English,anthropic,1966," 1. Cultural Revolution begins in China
2. Indira Gandhi becomes Prime Minister of India 
3. Soviet Luna 9 spacecraft makes first automated landing on another world 
4. Military coup in Nigeria
5. Famine in India ", 1. Cultural Revolution begins in China,2. Indira Gandhi becomes Prime Minister of India ,3. Soviet Luna 9 spacecraft makes first automated landing on another world ,4. Military coup in Nigeria,5. Famine in India ,,
English,anthropic,1966," 1. Cultural Revolution begins in China 
2. Military coup in Nigeria
3. Indira Gandhi becomes Indian prime minister
4. Indonesia bans communism
5. NASA launches Lunar Orbiter 1", 1. Cultural Revolution begins in China ,2. Military coup in Nigeria,3. Indira Gandhi becomes Indian prime minister,4. Indonesia bans communism,5. NASA launches Lunar Orbiter 1,,
English,anthropic,1968," 1. Assassination of Martin Luther King Jr.
2. Tet Offensive 
3. Assassination of Robert F. Kennedy
4. Soviet invasion of Czechoslovakia 
5. May 1968 protests in France", 1. Assassination of Martin Luther King Jr.,2. Tet Offensive ,3. Assassination of Robert F. Kennedy,4. Soviet invasion of Czechoslovakia ,5. May 1968 protests in France,,
English,anthropic,1968," 1. Assassination of Martin Luther King Jr.
2. Assassination of Robert F. Kennedy 
3. Tet Offensive in Vietnam
4. May 1968 protests in France
5. Apollo 8 orbits the Moon", 1. Assassination of Martin Luther King Jr.,2. Assassination of Robert F. Kennedy ,3. Tet Offensive in Vietnam,4. May 1968 protests in France,5. Apollo 8 orbits the Moon,,
English,anthropic,1968," 1. Assassination of Martin Luther King Jr. 
2. Assassination of Robert F. Kennedy
3. Tet Offensive 
4. May 1968 protests in France
5. Prague Spring", 1. Assassination of Martin Luther King Jr. ,2. Assassination of Robert F. Kennedy,3. Tet Offensive ,4. May 1968 protests in France,5. Prague Spring,,
English,anthropic,1968," 1. Assassination of Martin Luther King Jr.
2. Assassination of Robert F. Kennedy 
3. Tet Offensive
4. Prague Spring 
5. May 1968 protests in France", 1. Assassination of Martin Luther King Jr.,2. Assassination of Robert F. Kennedy ,3. Tet Offensive,4. Prague Spring ,5. May 1968 protests in France,,
English,anthropic,1968," 1. Assassination of Martin Luther King Jr.
2. Assassination of Robert F. Kennedy
3. Tet Offensive 
4. May 1968 protests in France
5. Apollo 8 mission", 1. Assassination of Martin Luther King Jr.,2. Assassination of Robert F. Kennedy,3. Tet Offensive ,4. May 1968 protests in France,5. Apollo 8 mission,,
English,anthropic,2020," 1. COVID-19 pandemic 
2. 2020 United States presidential election
3. 2020 Black Lives Matter protests
4. 2020 Israel–United Arab Emirates peace agreement 
5. 2020–2021 United States–China trade war", 1. COVID-19 pandemic ,2. 2020 United States presidential election,3. 2020 Black Lives Matter protests,4. 2020 Israel–United Arab Emirates peace agreement ,5. 2020–2021 United States–China trade war,,
English,anthropic,2020," 1. COVID-19 pandemic 
2. 2020 United States presidential election
3. 2020 Belarusian protests
4. 2020–2021 United States racial unrest
5. 2020 Beirut explosion", 1. COVID-19 pandemic ,2. 2020 United States presidential election,3. 2020 Belarusian protests,4. 2020–2021 United States racial unrest,5. 2020 Beirut explosion,,
English,anthropic,2020," 1. COVID-19 pandemic 
2. 2020 United States presidential election
3. Death of Kobe Bryant
4. Murder of George Floyd
5. Wildfires", 1. COVID-19 pandemic ,2. 2020 United States presidential election,3. Death of Kobe Bryant,4. Murder of George Floyd,5. Wildfires,,
English,anthropic,2020," 1. COVID-19 pandemic 
2. 2020 United States presidential election
3. 2020 Nagorno-Karabakh conflict
4. 2020 California wildfires 
5. 2020 Belarusian protests", 1. COVID-19 pandemic ,2. 2020 United States presidential election,3. 2020 Nagorno-Karabakh conflict,4. 2020 California wildfires ,5. 2020 Belarusian protests,,
English,anthropic,2020," 1. COVID-19 pandemic 

2. 2020 United States presidential election

3. 2020 Black Lives Matter protests

4. 2020 wildfire season 

5. 2020 Beirut explosion", 1. COVID-19 pandemic ,2. 2020 United States presidential election,3. 2020 Black Lives Matter protests,4. 2020 wildfire season ,5. 2020 Beirut explosion,,
Korean,anthropic,610," 610년에 일어난 중요한 5가지 역사적 사건:

1. 황후 위청의 죽음 
2. 유관순의 난
3. 당나라의 개원 
4. 신라의 문무왕조의 시작
5. 이슬람교의 설립", 610년에 일어난 중요한 5가지 역사적 사건:,1. 황후 위청의 죽음 ,2. 유관순의 난,3. 당나라의 개원 ,4. 신라의 문무왕조의 시작,5. 이슬람교의 설립,
Korean,anthropic,610," 610년에 일어난 중대한 역사적 사건 다섯 가지:

1. 황태자 융의 난 
2. 융왕의 즉위
3. 수 성립
4. 당나라 건국
5. 이슬람교 창시", 610년에 일어난 중대한 역사적 사건 다섯 가지:,1. 황태자 융의 난 ,2. 융왕의 즉위,3. 수 성립,4. 당나라 건국,5. 이슬람교 창시,
Korean,anthropic,610," 610년에 발생한 다섯 중대한 역사적 사건들:

1. 하카사 불교 관철
2. 유교의 육조시대 개막 
3. 순수빈 가문의 성립
4. 비잔틴 제국의 지동 최고봉 
5. 이슬람교 출현", 610년에 발생한 다섯 중대한 역사적 사건들:,1. 하카사 불교 관철,2. 유교의 육조시대 개막 ,3. 순수빈 가문의 성립,4. 비잔틴 제국의 지동 최고봉 ,5. 이슬람교 출현,
