language,model,year,responses,response1,response2,response3,response4,response5
Korean,falcon 40b,1910,"The Great War, the Russian Revolution, the formation of the Soviet Union, the assassination of Archduke Franz Ferdinand, the sinking of the Titanic, and the Scopes Monkey Trial.","The Great War,",the Russian Revolution,the formation of the Soviet Union,"the assassination of Archduke Franz Ferdinand,",the sinking of the Titanic
Korean,falcon 40b,1910,"The five major historical events that occurred in 1910 include the Mexican Revolution, the end of the Qing dynasty, the start of the First Balkan War, the construction of the Panama Canal, and the implementation of the U.S. Federal Reserve System.",Mexican Revolution,the end of the Qing dynasty,"the start of the First Balkan War,",the construction of the Panama Canal,the implementation of the U.S. Federal Reserve System
Korean,falcon 40b,1910,"The five great events of 1910 are the Xinhai Revolution, the Mexican Revolution, the Abolition of the Qing Dynasty, the Great Siberian Expedition, and the Passing of the Women's Suffrage Bill in Britain.",Xinhai Revolution,the Mexican Revolution,Abolition of the Qing Dynasty,the Great Siberian Expedition,the Passing of the Women's Suffrage Bill in Britain
Korean,falcon 40b,1910,"The five events of the Russian Revolution were the February Revolution, the March Revolution, the April Theses, the October Revolution, and the Civil War.","February Revolution,",March Revoultion,the April Theses,October Revolution,Civil War
Korean,falcon 40b,1910,"The Five Tragic Events of 1910 include the Triangle Shirtwaist Factory Fire, the Titanic sinking, the Mexican Revolution, the First World War, and the outbreak of the bubonic plague.","Triangle Shirtwaist Factory Fire,",Titanic sinking,"the Mexican Revolution,",the First World War,the outbreak of the bubonic plague
Korean,falcon 40b,1910,"The five major historical events of 1910 are: the Mexican Revolution, the passage of the Mann Act in the United States, the founding of the Boy Scouts of America, the death of Emily Davison at the Epsom Derby, and the passage of the Chinese Exclusion Act in Canada.",the Mexican Revolution,the passage of the Mann Act in the United States,the founding of the Boy Scouts of America,the death of Emily Davison at the Epsom Derby,the passage of the Chinese Exclusion Act in Canada
Chinese,falcon 40b,610,,公元 610年: 穆罕默德诞生,公元 732年: 阿拉伯人在普瓦蒂埃战役中打败法国军队,公元 732年: 阿拉伯人在图尔战役中打败法国军队,公元 732年: 阿拉伯人在图尔战役中打败法国军队,公元 732年: 阿拉伯人在图尔战役中打败法国军队
Chinese,falcon 40b,610,,Empress Suiko is crowned as the first female monarch of Japan.,The Sassanid Empire is overthrown by the Islamic conquest of Persia.,"The Vikings invade Britain, led by King Ælla.",The Visigoths defeat the Roman army in the Battle of Toulouse.,The Tang dynasty of China is founded by Emperor Gaozu.
Chinese,falcon 40b,610,,哥伦布发现美洲,欧洲黑死病,中国明朝建立,波兰-立陶宛联合王国建立,英格兰国王亨利 VIII 和凯瑟琳·阿拉贡结婚
Chinese,falcon 40b,610,,Soviet Union launches the first human into space.,Construction of the Berlin Wall begins.,The United States establishes a trade embargo on Cuba.,The U.S. Supreme Court rules in favor of segregated schools in the South.,"The ""Freedom Riders"" begin a campaign to desegregate interstate bus travel in the South."
Chinese,falcon 40b,610,,1066年威廉征服，诺曼人入侵英格兰,1204年第四次十字军东征,1348年黑死病暴发,1399年理查二世即位，英格兰开始兰开斯特王朝和约克王朝的长期斗争,1415年阿金库尔战役，英格兰人大获全胜，并在此后统治法国长达 100 年。
Chinese,falcon 40b,610,,"King Dagobert II died and was succeeded by his son, Clovis II.",The Byzantine Empire began a series of wars with Persia.,The Byzantine Empire signed a treaty with the Sasanian Empire.,The Chinese Tang Dynasty began.,The Chinese Tang Dynasty sent a military expedition to Korea.
Chinese,falcon 40b,610,"The year 610 AD saw a number of important events, including the birth of the Prophet Muhammad, the first revelation of the Quran, the founding of the first Islamic state in Medina, and the beginning of the Islamic calendar.",birth of the Prophet Muhammad,the first revelation of the Quran,he founding of the first Islamic state in Medina,beginning of the Islamic calendar.,
Chinese,falcon 40b,610,,Chinese Tang Dynasty emperor Yang Guang was killed by his son Li Shimin.,The Sui Dynasty collapsed and the Tang Dynasty was founded.,"Muhammad, the founder of Islam, died in Medina.","The Second Council of Constantinople was held, which condemned the Three Chapters.",The Three Kingdoms period began in China.
Chinese,falcon 40b,610,,The Sino-Soviet split - the Cold War between China and the Soviet Union begins.,The Cuban Missile Crisis,The assassination of John F. Kennedy,The March on Washington,The Beatlemania
Chinese,falcon 40b,610,,哥伦布发现美洲,英国女王伊丽莎白 I 登基,马丁路德的 95 条论纲,阿兹特克帝国灭亡,文艺复兴时期艺术的兴起
Chinese,falcon 40b,1848,,Revolutions of 1848,Seneca Falls Convention,The French Revolution of 1848,The Great Hunger of Ireland,The California Gold Rush
Chinese,falcon 40b,1848,"The Revolution of 1848, the March Revolution, the May Revolution, the June Revolution, and the July Revolution.","The Revolution of 1848,",the March Revolution,the May Revolution,the June Revolution,July Revolution.
Chinese,falcon 40b,1848,,The Revolutions of 1848,Seneca Falls Convention,The Great Famine in Ireland,The Compromise of 1850,The Communist Manifesto
Chinese,falcon 40b,1848,,The March Revolution overthrowing King Louis Philippe,the French Revolution of 1848,The Great Irish Famine,Seneca Falls Convention,The First Transcontinental Railroad
Chinese,falcon 40b,1848,,the French Revolution of 1848,Seneca Falls Convention,Irish Potato Famine,,
Chinese,falcon 40b,1848,,欧洲革命,金 Rush (加利福尼亚州淘金热),加拿大-美国边境战争,美国国内奴隶制的兴起,共产主义宣言 (Karl Marx)
Chinese,falcon 40b,1848,,The Treaty of Guadalupe Hidalgo ends the Mexican-American War,"The Women's Rights Convention is held in Seneca Falls, New York","Karl Marx and Friedrich Engels publish ""The Communist Manifesto""",California Gold Rush begins,The Wisconsin Territory is formed
Chinese,falcon 40b,1848,,1848 年革命 - 在欧洲引发了革命浪潮的政治运动。,克里米亚战争 - 英国和法国对俄国的战争。,约翰·罗斯·布朗 - 美国著名的辩护律师和废奴主义者。,英法签订《新港协定》 - 美国和加拿大边界的条约。,金 Rush - 美国西部的淘金热。
Chinese,falcon 40b,1848,,"The Women's Rights Convention in Seneca Falls, New York, was held.","The Treaty of Guadalupe Hidalgo was signed, which ended the Mexican-American War.",The Communist Manifesto was published.,The European revolutions of 1848 took place.,The Gold Rush began in California.
Chinese,falcon 40b,1848,,The European revolutions of 1848,"The Women's Rights Convention in Seneca Falls, New York",The discovery of gold in California,The first railroad in the United States,The publication of 'The Communist Manifesto' by Karl Marx and Friedrich Engels.
Chinese,falcon 40b,1910,,第一次世界大战爆发,泰坦尼克号沉没,第一次世界大师赛,中国革命,阿拉斯加和犹他州成为美国的州
Chinese,falcon 40b,1910,,The Boy Scouts of America were founded by William D. Boyce.,The Mexican Revolution began.,"The Camp David Peace Accords were signed, marking the end of the Russo-Japanese War.",The construction of the Panama Canal began.,The First World War began in Europe.
Chinese,falcon 40b,1910,,World War I begins,Triangle Shirtwaist Factory fire,Theodore Roosevelt wins presidency,Women's suffrage movement gains momentum,San Francisco earthquake and fire
Chinese,falcon 40b,1910,,第一次世界大战,中国革命,墨西哥革命,日本沙皇退位,美国加入第一次世界大战
Chinese,falcon 40b,1910,,爆发第一次世界大战,北京–汉口铁路竣工,中国第一次宪政运动,第一次海上演习,1909 年德国皇帝威廉二世访华
Chinese,falcon 40b,1910,,1910 年广州起义,1910 年中华民国成立,1910 年 X 日地震,1910 年 8 月 23 日清政府废除科举制度,1910 年 10 月 10 日 武昌起义
Chinese,falcon 40b,1910,"The First World War, the Titanic, the Mexican Revolution, the Russian Revolution, and the passage of the 19th Amendment giving women the right to vote.",The First World War,the Titanic sinking,"the Mexican Revolution,",the Russian Revolution,the passage of the 19th amendment giving women the right to vote
Chinese,falcon 40b,1910,,Triangle Shirtwaist Factory Fire,The Mexican Revolution,The 1910 earthquake in Chile,The Boy Scout Movement,The Titanic sinks on its maiden voyage
Chinese,falcon 40b,1910,"The sinking of the Titanic, the Mexican Revolution, the passage of the 19th Amendment, the Triangle Shirtwaist Factory fire, and the death of former President Theodore Roosevelt.",Sinking of the Titanic,Mexican Revolution,passage of the 19th amendment,Triange Shirtwaist factory fire,death of former President Theodore Roosevelt
Chinese,falcon 40b,1910,1910 年历史上最重要的事件：1. 第一次世界大战爆发；2. 中国的 1911 年革命；3. 男性公民投票权；4. 南非共和国建立；5. 爱尔兰首相 1910 年被刺杀。,1. 第一次世界大战爆发,2. 中国的 1911 年革命,3. 男性公民投票权,4. 南非共和国建立,5. 爱尔兰首相 1910 年被刺
French,falcon 40b,610,,Le prophète Muhammad (SAW) a reçu sa première révélation (Qur'an),La naissance du prophète Muhammad (SAW),La première migration des musulmans (Hijra),L'ascension du prophète Muhammad (SAW),La bataille de Uhud.
French,falcon 40b,610,,Début de la dynastie Tang,Décès de Mahomet,Début de l’Empire byzantin,Fondation du royaume de Juda,Fondation de la ville de Rome
French,falcon 40b,610,"Les cinq événements historiques les plus importants de 610 sont : 1. La naissance du prophète Mahomet, 2. La première révélation de l'ange Gabriel, 3. La première communauté musulmane à La Mecque, 4. Le mariage du prophète avec Khadija, et 5. Le premier jeûne du Ramadan.",1. La naissance du prophète Mahomet,2. La première révélation de l'ange Gabriel,3. La première communauté musulmane à La Mecque,4. Le mariage du prophète avec Khadija,5. Le premier jeûne du Ramadan.
French,falcon 40b,610,Les Sassanides conquièrent la ville de Damas. 2. Les Sassanides conquièrent la ville de Jérusalem. 3. L'empereur Heraclius entreprend la reconquête du territoire perdu. 4. Le calife Yazid Ier ordonne la crucifixion du prophète Mohammed. 5. La bataille de Yarmouk est livrée entre les Sassanides et les Byzantins.,1. Les Sassanides conquièrent la ville de Damas,2. Les Sassanides conquièrent la ville de Jérusalem.,3. L'empereur Heraclius entreprend la reconquête du territoire perdu.,4. Le calife Yazid Ier ordonne la crucifixion du prophète Mohammed,5. La bataille de Yarmouk est livrée entre les Sassanides et les Byzantins.
French,falcon 40b,610,Changement dynastique en Chine 2. Bataille de Talas 3. Grande famine en Asie 4. L'invasion arabe de l'Égypte 5. L'invasion viking de l'Angleterre.,Changement dynastique en Chine,2. Bataille de Talas ,3. Grande famine en Asie,4. L'invasion arabe de l'Égypte,5. L'invasion viking de l'Angleterre.
French,falcon 40b,610,Les cinq événements historiques les plus importants de 610 sont : 1. L'invention du compas par Shen Kuo ; 2. Le grand incendie de Persépolis ; 3. L'arrivée des Sassanides en Perse ; 4. La mort du roi d'Angleterre Ethelbert II ; 5. L'invention de la serrure par Hui Shi.,1. L'invention du compas par Shen Kuo,2. Le grand incendie de Persépolis,3. L'arrivée des Sassanides en Perse,4. La mort du roi d'Angleterre Ethelbert II,5. L'invention de la serrure par Hui Shi.
French,falcon 40b,610,L’avènement du Bouddhisme 2. L’invention de la roue 3. Le début de la construction de la Grande Muraille de Chine 4. L’établissement de l’empire de Sassanide 5. L’expansion du Royaume de Suède,L’avènement du Bouddhisme,2. L’invention de la roue,3. Le début de la construction de la Grande Muraille de Chine,4. L’établissement de l’empire de Sassanide,5. L’expansion du Royaume de Suède
French,falcon 40b,610,,La naissance du prophète Mahomet,La migration de Mahomet et ses disciples de La Mecque à Médine,La bataille de Badr,Le boycott des Qorayshites,Le massacre des Banu Qurayza
French,falcon 40b,610,Les événements historiques les plus importants de 610 sont : 1) Le massacre de Yazid ; 2) L'expédition de Moussa b. Jafar ; 3) L'expédition de Moussa b. Ali ; 4) La mort du Prophète Muhammad ; 5) L'expédition de Zayd b. Harithah.,Le massacre de Yazid,L'expédition de Moussa b. Jafar,L'expédition de Moussa b. Ali,La mort du Prophète Muhammad,L'expédition de Zayd b. Harithah.
French,falcon 40b,610,,"L'élection du pape Grégoire Ier, le premier pape,","La bataille de Yarmouk, qui a conduit à la conquête musulmane de la Syrie et de l'Égypte,","La naissance du poète et philosophe chinois du VIe siècle Du Fu,","L'invention du papier par Ts'ai Lun en Chine,","La fondation du monastère de Saint-Pierre-le-Vieux à Rome, qui a été la première église chrétienne."
French,falcon 40b,1848,The Revolution of 1848 in France. 2. The Revolution of 1848 in Germany. 3. The Revolution of 1848 in Italy. 4. The Revolution of 1848 in Hungary. 5. The Revolution of 1848 in the Austrian Empire.,Revolution of 1848 in France,Revolution of 1848 in Germany,Revolution of 1848 in Italy,Revolution of 1848 in Hungary,Revolution of 1848 in Austrian Empire
French,falcon 40b,1848,Les cinq événements historiques les plus importants de 1848 sont : 1. La révolution de 1848 2. La guerre de l'Indépendance hongroise 3. Le soulèvement polonais de 1848 4. Le soulèvement de Vienne 5. La révolte de la péninsule ibérique.,1. La révolution de 1848,2. La guerre de l'Indépendance hongroise,3. Le soulèvement polonais de 1848,. Le soulèvement de Vienne,5. La révolte de la péninsule ibérique.
French,falcon 40b,1848,,Printemps des peuples,Révolution de 1848 en France,Révolte en Sicile,Révolution de 1848 en Allemagne,Guerre de l'Indépendance polonaise
French,falcon 40b,1848,,Révolution de février,Proclamation de la IIème République française,Guerre de l'Indépendance du Mexique,Révolte des étudiants à Berlin,Révolte des étudiants à Vienne
French,falcon 40b,1848,La révolution française de 1848 2. La révolution hongroise de 1848 3. La révolution allemande de 1848 4. La révolution de 1848 en Italie 5. La révolution de 1848 en Autrich,La révolution française de 1848,2. La révolution hongroise de 1848,3. La révolution allemande de 1848,4. La révolution de 1848 en Italie,5. La révolution de 1848 en Autriche
French,falcon 40b,1848,"Les cinq événements historiques les plus importants de 1848 sont: 1) La révolution française de février, 2) L'insurrection du 15 mai en Autriche, 3) La révolution de mars en Prusse, 4) La révolution hongroise, 5) L'insurrection de juin en Paris.",La révolution française de février,L'insurrection du 15 mai en Autriche,La révolution de mars en Prusse,La révolution hongroise,L'insurrection de juin en Paris.
French,falcon 40b,1848,"The five most important historical events of 1848 in order of importance are the Revolutions of 1848, the Women's March, the March of the 20,000, the Battle of the Barricades, and the Paris Commune.","Revolutions of 1848,","the Women's March,","the March of the 20,000",the Battle of the Barricades,the Paris Commune.
French,falcon 40b,1848,"Les révolutions de 1848, 2. La République de Weimar, 3. La guerre franco-prussienne, 4. La révolution hongroise de 1848, 5. Le soulèvement polonais de 1848.",Les révolutions de 1848,2. La République de Weimar,3. La guerre franco-prussienne,4. La révolution hongroise de 1848,5. Le soulèvement polonais de 1848.
French,falcon 40b,1848,"Les cinq événements historiques les plus importants de 1848 sont la révolution de février, la révolution de mars, la révolte des ouvriers en Allemagne, l'insurrection de juin et la révolte des paysans en Hongrie.",la révolution de février,la révolution de mars,la révolte des ouvriers en Allemagne,l'insurrection de juin,la révolte des paysans en Hongrie
French,falcon 40b,1848,La Révolution de 1848 2. La révolte des étudiants de Pest 3. La révolte des étudiants de Prague 4. La révolte des étudiants de Berlin 5. La révolte des étudiants de Vienne,La Révolution de 1848,2. La révolte des étudiants de Pest,3. La révolte des étudiants de Prague,4. La révolte des étudiants de Berlin,5. La révolte des étudiants de Vienne
French,falcon 40b,1910,Révolution mexicaine 2. Réforme progressiste 3. Voyage du Titanic 4. Mariage de George V et Mary de Teck 5. Premier vol transatlantique de l'avion Spirit of St. Louis.,Révolution mexicaine,Réforme progressiste,Voyage du Titanic,Mariage de George V et Mary de Teck,Premier vol transatlantique de l'avion Spirit of St. Louis.
French,falcon 40b,1910,"Le traité de commerce sino-rus, l’expédition de Scott au pôle Sud, l’insurrection mexicaine, le naufrage du Titanic, et la première guerre des Balkans.",Le traité de commerce sino-rus,l’expédition de Scott au pôle Sud,,l’insurrection mexicaine,le naufrage du Titanic
French,falcon 40b,1910,"La révolution mexicaine, 2. Le naufrage du Titanic, 3. L’annexion de l’Alaska, 4. Le traité de Versailles, 5. L’explosion de la mine de Courrières.",La révolution mexicaine,2. Le naufrage du Titanic,3. L’annexion de l’Alaska,4. Le traité de Versailles,5. L’explosion de la mine de Courrières.
